Christine Malèvre	 France	1998 and earlier	6	30	Nurse who killed terminally ill patients claiming that they had asked her to help them die, something denied by their families. Sentenced to 12 years in prison for six murders and suspect of 30.[325]
Antoinette Scieri	 France	1924 to 1925	6	12+	Nurse who poisoned her elderly patients. Death sentence was commuted to life in prison and she died in prison.[326]
Kristen Gilbert	 United States	1990 to 1996	5	70+	Nurse at a Massachusetts Veterans Medical Center who injected male patients with epinephrine, causing heart attacks. Sentenced to life without parole.[327]
Amy Archer-Gilligan	 United States	1910 to 1917	5	48+	A nursing home proprietor believed to have poisoned as many as 60 patients from her homes and her second husband. Charged with five murders originally, this was lowered to just one following her admission of guilt, and was found guilty of second degree murder. Died in a mental hospital in 1962.[328]
Michael Swango	 United States Zimbabwe	1981 to 1997	4	35–60+	Medical Doctor who killed patients.[329]
Kermit Gosnell	 United States	1989? to 2011	4	100+	Gosnell, who ran an abortion clinic, was charged with eight and convicted of four murders. Three babies were born alive, then killed by cutting the infant's spine with scissors. One mother died due to complications. Testimony indicated hundreds of similar procedures carried out by Gosnell and his staff.
Edson Izidoro Guimarães	 Brazil	1999 and earlier	4	131	Nurse who injected patients with potassium chloride or removed their oxygen mask. Confessed to five murders which he claimed to be mercy killings and was convicted of four in 2000; sentenced to 76 years in prison. He may have killed as many as 131 patients for money, as he was paid $60 for informing local funeral homes of a patient's death so that they could contact the deceased's relatives first.[330]
Richard Angelo	 United States	1987	4	25	Known as "The Angel of Death". New York nurse convicted of four murders, linked to six other deaths. Suspected of killing up to 25 people.[331]
Beverley Allitt	 United Kingdom	1991	4	-	Convicted of murdering four children and attacking another six in the Lincolnshire hospital where she worked as a nurse. Given 13 life sentences.[332]
Andrés Ulises Castillo Villarreal	 Mexico	2009 to 2015	3	12+	Known as "The Chihuahua Ripper"; drugged, raped and then killed men in Chihuahua; sentenced to 120 years imprisonment.[333]
Elfriede Blauensteiner	 Austria	1981 to 1995	3	10+	Known as "The Black Widow"; poisoned people for material gain; died from a brain tumor in 2003.[334]
