Joshi-Abhyankar serial murderers	 India	1976 to 1977	10		Four Pune commercial art students (Rajendra Jakkal, Dilip Sutar, Shantaram Kanhoji Jagtap and Munawar Harun Shah) that broke into random people's homes and businesses and strangled them with a nylon rope. Executed by hanging in 1983.[365]
Gerald and Charlene Gallego	 United States	1978 to 1980	10		Killed 10 victims in Sacramento, California. Gerald Gallego died of cancer before his death sentence could be carried out. Charlene Gallego was released July 1997.[366]
Viña del Mar psychopaths	 Chile	1980 to 1981	10		Jorge Sagredo and Carlos Topp committed 10 murders and four rapes from 5 August 1980 to 1 November 1981 in the city of Viña del Mar. Executed by firing squad in 1985, they became the last people executed in Chile.[367]
Yevgeny Nagorny and Sergei Stavitsky	 Russia	1998	10		Killed clients with expensive cars in their autoshop in order to sell them; sentenced to life imprisonment.[368]
National Socialist Underground	 Germany	2000 to 2007	10		Neo-Nazi group who killed 10 ethnic Turks in the Bosphorus serial murders from 2000 to 2007. Most victims were small business owners killed in broad daylight with a gunshot to the face. Two of the suspects committed suicide and a third, Beate Zschäpe, was apprehended in 2011.[369]
Tadeusz Grzesik and the Bureaucrats Gang	 Poland	1991 to 2007	8	20+	Robbed and killed people in several Polish voivodeships, mainly owners of exchange offices.[370]
Edgar Álvarez Cruz and Francisco Granados	 Mexico	1993 to 2003	8–10	14+	Kidnapped, drugged, raped and then killed women in cotton fields.[371]
The Ciudad Juárez Rebels	 Mexico	1995 to 1996	8	10–14	Gang of serial killers, led by Sergio Armendáriz Diaz and Juan Contreras Jurado, who killed women in Ciudad Juárez; claimed to work for Abdul Latif Sharif.[372]
The Manson Family cult killings	 United States	1967 to 1969	7	7	A California desert cult formed by Charles Manson in 1967, the ‘Manson Family’ committed a series of murders in name of promoting Manson's goal of causing a race war that he called Helter Skelter.
Ray and Faye Copeland	 United States	1986 to 1989	5	12	Oldest couple ever sentenced to death in the United States at the ages of 75 and 69; convicted of killing five men; modus operandi was to hire unskilled drifters as farmhands and later kill them.[373]
Ian Brady and Myra Hindley	 United Kingdom	1963 to 1965	5	12	Responsible for the "Moors murders": they abducted, raped, tortured and murdered at least five children in the Manchester area before burying their victims on Saddleworth Moor as part of an experiment in "existential experience". The case attracted much media coverage long after the two were sentenced, especially in the United Kingdom, as Hindley sought release from prison from the 1980s but was refused and died in prison. Five victims were identified although Brady periodically claimed that there were up to twelve.
The Skin Hunters	 Poland	2002 and earlier	5	Unknown	Hospital crew that killed patients in order to get bribes from nearby funeral homes. Two doctors and two paramedics were convicted for the murder of five patients, but the investigation is continuing, with over 40 remaining suspects.[374]
Loren Herzog and Wesley Shermantine	 United States	1984 to 1999	4	19+	Known as the "Speed Freak Killers"; California duo initially convicted of four murders from 1984 to 1999.[375]
Raymond Fernandez and Martha Beck	 United States	1947 to 1949	3	20	Known as the "Lonely Hearts Killers", Fernandez and Beck extorted women Fernandez met through lonely hearts advertisements. Both were arrested in Michigan in 1949 for the murders of a woman and her two-year-old daughter, but Michigan authorities waived prosecution and extradited the pair to New York to face trial for a murder that occurred there because New York had the death penalty while Michigan did not. They were convicted of that murder and executed in 1951.[376]
Beasts of Satan	 Italy	1998 to 2004	3	18	Cult members responsible for ritualistic murders, and are suspected in other cases, including suicides.[377]
